Event Id;Investigation Type;Accident Number;Event Date;Location;Country;Latitude;Longitude;Airport Code;Airport Name;Injury Severity;Aircraft Damage;Aircraft Category;Registration Number;Make;Model;Amateur Built;Number of Engines;Engine Type;FAR Description;Schedule;Purpose of Flight;Air Carrier;Total Fatal Injuries;Total Serious Injuries;Total Minor Injuries;Total Uninjured;Weather Condition;Broad Phase of Flight;Report Status;Publication Date   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200218X05137;Accident;GAA20WA111;44167;Guaymaral  Colombia;Colombia;4.819167;-74.078056;N/A;N/A;Fatal(4);Destroyed;Airplane;N/A;PIPER;PA31;No;N/A;N/A;Non-U.S.  Non-Commercial;N/A;N/A;N/A;4;N/A;N/A;N/A;N/A;TAKEOFF;Foreign;N/A;N/A;N/A;N/A;N/A;N/A;N/A;  ;N/A
20200212X95117;Incident;ENG20CA015;44167;Bordeaux  France;France;N/A;N/A;N/A;N/A;Incident;N/A;Airplane;YL-AAU;AIRBUS;A220;No;2;N/A;Non-U.S.  Commercial;SCHD;N/A;airBaltic;N/A;N/A;N/A;154;N/A;N/A;Preliminary;02/18/2020;N/A;N/A;N/A;N/A;N/A;N/A;  ;N/A
20200213X92852;Accident;CEN20LA083;44167;Broomfield  CO;United States;39.931111;-105.120000;BJC;Rocky Mountain Metropolitan;Non-Fatal;Substantial;Airplane;N677P;Piaggio;P180;No;2;Turbo Prop;Part 91: General Aviation;N/A;Business;N/A;N/A;N/A;N/A;4;IMC;LANDING;Preliminary;02/19/2020;N/A;N/A;N/A;N/A;N/A; ;N/A;N/A
20200213X95851;Accident;CEN20LA082;44167;Benbrook  TX;United States;32.673056;-97.460833;N/A;N/A;Non-Fatal;Substantial;Airplane;N654CE;Cessna;560;No;2;Turbo Fan;Part 91: General Aviation;N/A;Executive/Corporate;N/A;N/A;N/A;N/A;2;VMC;CRUISE;Preliminary;02/26/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200209X61613;Accident;ERA20FA097;44076;Front Royal  VA;United States;38.550000;-78.140000;FRR;Front Royal-Warren County;Fatal(1);Substantial;Glider;N912ES;Aviastroitel;AC 4C;Yes;N/A;None;Part 91: General Aviation;N/A;Personal;N/A;1;N/A;N/A;N/A;VMC;APPROACH;Preliminary;02/20/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200209X75546;Accident;CEN20LA078;44076;Fort Smith  AR;United States;33.336389;-94.367500;FSM;Fort Smith Regional Airport;Non-Fatal;Substantial;Airplane;N1011M;Navion;NAVION;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;N/A;1;3;N/A;VMC;TAKEOFF;Preliminary;02/19/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200208X35227;Accident;ERA20FA096;44045;Fairmount  GA;United States;34.461944;-84.756389;N/A;N/A;Fatal(4);Substantial;Airplane;N501RG;Cessna;501;No;2;Turbo Fan;Part 91: General Aviation;N/A;Personal;N/A;4;N/A;N/A;N/A;IMC;CLIMB;Preliminary;02/25/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200209X33430;Accident;CEN20FA076;44045;Granbury  TX;United States;32.444444;-97.816945;GDJ;Granbury Rgnl;Fatal(1);Substantial;Airplane;N6665U;Beech;33;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;1;N/A;N/A;N/A;VMC;UNKNOWN;Preliminary;02/19/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200210X23531;Accident;CEN20CA079;44045;Fort Morgan  CO;United States;40.335555;-103.804167;FMM;FORT MORGAN MUNI;Non-Fatal;Substantial;Airplane;N970FA;Air Tractor;AT-504;No;1;N/A;Part 91: General Aviation;N/A;Instructional;N/A;N/A;N/A;N/A;2;VMC;N/A;Preliminary;02/13/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200210X30945;Accident;ANC20WA019;44014;Laishevo  Russia;Russia;N/A;N/A;N/A;N/A;Fatal(1);Substantial;Helicopter;N/A;BELL;407;No;N/A;N/A;Unknown;N/A;N/A;N/A;1;2;N/A;N/A;N/A;UNKNOWN;Foreign;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
